term,estimate,std.error,statistic,p.value,conf.low,conf.high
head_educationPassed Grade 5,-0.06994628951013908,0.04855266573125759,-1.440627171683975,0.14969412161248885,-0.16510926735749054,0.025216688337212384
head_educationPassed Grade 6,-0.13081154144241305,0.054356833472826195,-2.4065335135426484,0.016107075092608437,-0.23735065853761667,-0.024272424347209443
head_educationPassed Grade 7,0.06107783547549369,0.048945005584543476,1.247886985526909,0.2120762568096775,-0.034854126488477376,0.15700979743946475
head_educationPassed Grade 8,0.10243493500863114,0.04715400420066139,2.1723485999773136,0.0298324308906508,0.010013326646300155,0.19485654337096214
head_educationPassed Grade 9,-0.06692327981882643,0.04830940431530232,-1.3853054238060236,0.16596312440310532,-0.16160946652836888,0.027762906890716033
head_educationPassed post Graduate Degree / Diploma,0.05724717518352872,0.05189878306906431,1.1030542875609826,0.270007051284346,-0.04447417562432818,0.1589685259913856
head_educationPhD,0.0732185563974425,0.05923125254535262,1.2361473588859189,0.216407579159155,-0.042874397283893376,0.1893115100787784
head_educationSpecial Education learning / learnt,0.5648508077976627,0.10170360619571277,5.553891635963185,2.803018306930979e-8,0.36551225701717427,0.7641893585781512
head_educationStudying/Studied Grade 1,0.1824199260784349,0.1365028485365396,1.3363818267104077,0.18142846747779523,-0.08512496266740135,0.4499648148242712
head_occupationCraft and related worker,-0.06406213628058009,0.026645461726265824,-2.4042419282766905,0.01620839996313321,-0.11628710571941894,-0.011837166841741242
head_occupationElementary occupation,-0.005021541590492025,0.02242174392205071,-0.22395856486227994,0.8227901412195068,-0.04896804561899148,0.03892496243800742
"head_occupationLegislator, senior official, and manager",0.11060247491222558,0.02383434177775336,4.640466933954114,3.48196533223308e-6,0.06388728627239068,0.15731766355206048
head_occupationNo occupation,0.027548665397329815,0.0335038955368745,0.822252605432394,0.41093570061187246,-0.03811879942166072,0.09321613021632036
head_occupationPlant and machine operator and assembler,0.06421411956971725,0.02826958457246788,2.271491447110129,0.023120001773293385,0.008805877614185206,0.11962236152524929
head_occupationProfessional,-8.88410523052516e-5,0.020333409183749502,-0.004369215781889322,0.9965138926390323,-0.039942219617028756,0.039764537512418256
